date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:13	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229o5cd5%22	https://www.spikejones.org/robots.txt		(from )
09:50:13	5755/5755	---MCZ	200	added ('OK')	text/html	etag:W/%2230oxyv%22	https://www.spikejones.org/	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/index.html	(from )
09:50:13	3267/3267	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229o5cd5%22	https://www.spikejones.org/favicon.png	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/favicon.png	(from https://www.spikejones.org/)
09:50:13	5909/5909	---M-Z	200	added ('OK')	text/css	etag:W/%221341-1714483262516%22	https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css	(from https://www.spikejones.org/)
09:50:13	1112/1112	---M-Z	200	added ('OK')	text/css	etag:W/%22485-1714483262516%22	https://www.spikejones.org/_app/immutable/assets/2.C7Fhg8mG.css	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/assets/2.C7Fhg8mG.css	(from https://www.spikejones.org/)
09:50:14	20333/20333	---M--	200	added ('OK')	image/png	etag:W/%2220333-1714483261792%22	https://www.spikejones.org/logo_black.png	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/logo_black.png	(from https://www.spikejones.org/)
09:50:14	20810/20810	---MCZ	200	added ('OK')	text/html	etag:W/%22w8br69%22	https://www.spikejones.org/biography	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/biography.html	(from https://www.spikejones.org/)
09:50:14	6422/6422	---MCZ	200	added ('OK')	text/html	etag:W/%221ai568j%22	https://www.spikejones.org/about	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/about.html	(from https://www.spikejones.org/)
09:50:14	4486/4486	---MCZ	200	added ('OK')	text/html	etag:W/%221nixo2i%22	https://www.spikejones.org/get-involved	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/get-involved.html	(from https://www.spikejones.org/)
09:50:15	1335416/1335416	---M--	200	added ('OK')	image/png	etag:W/%221335416-1714483261788%22	https://www.spikejones.org/images/spikejones1.png	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/images/spikejones1.png	(from https://www.spikejones.org/)
09:50:15	544664/544664	---M--	200	added ('OK')	image/png	etag:W/%22544664-1714483261788%22	https://www.spikejones.org/images/spikejones2.png	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/images/spikejones2.png	(from https://www.spikejones.org/)
09:50:15	951465/951465	---M--	200	added ('OK')	image/png	etag:W/%22951465-1714483261792%22	https://www.spikejones.org/images/spikejones3.png	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/images/spikejones3.png	(from https://www.spikejones.org/)
